,med_sentence
456,"So, long story short, my plan is to get off meds and street drugs."
457,"I'm not sure I want to do this, they want me to stop the weed for 1 year before stopping the meds, so that year would be so boring."
458,"I'm off medication right now, I was on a really high dose of risperdal and I stopped taking it because it was slowing me way down and I couldn't stand it."
459,So next time I can get new medication is July 2nd.
460,"I keep going back and forth about whether I want to, but my therapist is really encouraging it, and reassuring me that I'm just sick and can't see it, so I guess I'll give meds a chance again."
461,"I felt guilty for years that I was using the medication as a performance enhancing drug, and that I was cheating out my peers."
462,"She is hard to bathe, the has terrible odor, and for the most part when on meds sleeps all day."
463,When she comes down from her meds or has episodes it is bad.
464,"So making medication changes, or any sort of meaningful evaluation impossible."
465,"My best solutions are
1) My Sister improves with proper medication
2) My Sister is placed in a facility to handle her care better
3) I remove the Minor Children from the situation

I'm venting, but I really need help here."
466,It took forever for him to get an appointment with this new doctor and while he's been waiting he ran out of meds.
467,In December I was hospitalized and got out in early January and since then I've been taking my meds every day and haven't been hearing any voices at all.
468,I feel like.. like going off meds.
469,"I'm slightly considering going off meds, with my doctor knowing though."
470,"The meds I'm currently on, Latuda, works miracles."
471,But it makes me throw up at least once a week so I think I'm going to switch meds if not go off completely for a while and see where I land.
472,"So I figure if I go off my meds and things get bad, it's ok if I have to go to the hospital."
473,"I know a lot of people think they're better when the meds are working and go off and get sick again, but I feel like I could be better for good."
474,"I may just try a new medication and see where that takes me, and not stop for a while."
475,"I think therapy might be a good first step, and I've been more easily able to help people seek therapy over psychiatrists (though I know medicine can be effective)."
476,I desperately need financial help because I had to reduce my work hours as the medication was unbearable but I cannot keep up with the bills.
477,A friend of mine has paranoid schizophrenia and takes medication at morning and in the evening.
478,"Yesterday evening, he took his evening meds right on time but he noticed that he forgot to take his morning meds and he INSISTED that he take his missed morning medication right after he took his evening ones."
479,I don't know what the name was of the medication he was taking.
480,I stopped taking the last medicine I was on because it didn't do anything.
481,I am a perfectly healthy 25 year old woman and my ignorance about this is making me afraid: are there any possible side effects of the medication on our conceiving?
482,"I do know that the medication lowers his fertility, but does it increase the chance of any birth defects?"
483,I was on meds for bipolar for almost ten years before they figured out I wasn't friggin bipolar.
484,Is it a pipe dream to think that with medication and therapy that she could have a level of normalcy and that we could (potentially) have a relationship?
485,I also throw up sometimes before I take my night meds.
486,Things also feel super intense and I get a little paranoid before I take my night meds.
487,"The medication, the therapy, the hypnosis, and intimidation will never change this."
488,"I was prescribed a medication, but 8 days later I still have paranoid episodes and hear voices."
489,I really liked the medication otherwise.
490,"I haven't been on medication for about 2 months now I think, dunno if it's that but if it is then, whatever, meds make this 10x worse."
491,"Also i promised i would never force her to take her meds but i do encourage it, do you guys have any advice for me."
492,"Everytime out of hospital, with doctors help I have gotten off meds completely, and lived a very healthy and normal life for 8-12 months at a time completely off meds."
493,"I find triggers that have caused me to go back to hospital have been
-alcohol (largest contributor)
-coffee/cafeine
-stress / lack of sleep

When any of the above hit, it's like a worldwind and I'm back in hospital and feeling like complete shit from medication."
494,"Is it worth trying to reduce meds again, and is it possible to live healthy lifestyle off meds?"
495,Why do I do well off meds for such long periods?
496,"I have an anxiety disorder, I take blood pressure medicine and anti-anxiety/ depression medicine."
497,"And even then, they just pump them full of zombie making meds and send them home within weeks.time for a change."
498,"I've been taking my meds regularly, trying to keep myself distracted and be active but nothing seems to work."
499,I don't want to take any more meds.
500,"I just really want to sleep and rest for a while

edit: I've started taking a new medicine called Haldol http://www.nlm.nih.gov/medlineplus/druginfo/meds/a682180.html  
It's not going over very well with me I think."
501,"But since I am taking the medication, and I do not hear people inside my home anymore, I am fairly certain that people are talking about me, and that it is emanating from a source that has intimate knowledge of my medical records."
502,Some of these issues can be attributed to the meds I'm on and some of them are just part of living with schizophrenia.
503,"At first I was in denial about it, but when she doesn't take her meds the crazy starts."
504,What are some other meds that are known to alleviate cognitive deficits?
505,I don't mind taking my meds; they allow me to function.
506,The hospital gave her some anti-anxiety meds and sent her home after a few hours.
507,She's calmer now (anti-anxiety meds!)
508,"We've had some luck with medication, before he started treatment his hallucinations were apparently a daily thing."
509,After trying a few different medications to no avail I was given Geodon and things started to clear up.
510,"I do BJJ, and I really do not want to be so medicated that I can't do the thing I'm living for, a life of working and medication and nothing else is not a life I have the slightest intention of living, that's not life, that's existence."
511,"Now that he is on medication and attending therapy it seems to be more under control,and most.of the time things are just fine, but he still has his moments and dramatic mood swings."
512,She's never been on medication either.
513,She doesn't want to be on medication.
514,What are some medications that I should immediately be able to think of when someone tells me their diagnosis?
515,"I have major depressive disorder and have went off my meds recently, and have a cousin who is bipolar schizophrenic, but I'm afraid to ask her these questions."
516,"He's under the care of a psychiatrist and taking medication, which has helped a lot."
517,He has been on and taken himself off so many medications because he is paranoid about taking them.
518,My son is also opposed to any kind of medication including advil and I am worried that he will not agree to medication.
519,"If you can share your experience with medication, that would also be helpful."
520,"Anyway, all that being said, I'm usually not on medication."
521,I have tried many medications and few even begin to work and those that do are so awful when the side effects are considered.
522,I am very schizophernic and going off my medication would cause me to be committed to a hospital.
523,"I really have dreams of having children one day, but how can i if my psych meds are going to make my baby be born with birth defects among other things."
524,"I blame it on the side effects of my meds, I have never had a problem with house work or laundry..and forget about cooking."
525,"Even going to the store  is a huge chore...Feeling this way causes me to get depressed and get anxiety...I have been on different meds, they all have side effects I dont like....idk what to do I feel hopeless."
526,I think I had a much higher sex drive when I was off my medication.
527,This was the first time having sex since I first started the meds.
528,How do I explain that I have a low sex-drive because of the medication to my partner?
529,So they put me on meds and I later decided that that wasn't the route for me.
530,(I know you're thinking why don't you Google it but that shit is hard) I need someone to talk to at the very least that won't try to force me onto meds.
531,"I've been on meds for a while (Lamictal) and they've definitely helped me with mood swings, and I also take Latuda for the voices and that helped a little bit, but the past few weeks I've been seeing things at night on and off."
532,"I'm not sure if what I am currently experiencing is normal in the ""recovery process"", or if the medications aren't entirely working."
533,"Granted, when I was at my worst I firmly believed in my thoughts and felt that the meds were being prescribed for the same reason as above: to prevent me from seeing the truth about my life."
534,I have been tempted to skip my meds fearing that they're getting in the way of my seeing the truth.
535,"My struggle with cognition: A drug induced recovery

I am currently perscribed two medications for my treatment and recovery of schizophrenia:  Zyprexa(anti psychotic) and Clonazepam(anti anxiety)."
536,"I am 24 now and with treatment my psychosis has been greatly subdued and the benefits of the medication are clear and undoubtedly necessary, cheers!"
537,I am aware that such an experience could lead to a dependence but i am already dependent on two medications.
538,"I really needed my medication because I was under a shitload of stress with everything, kids bullying me, I had that one best friend but she was depressed too."
539,"I'm getting my medication soon probably but oh well, it probably wont do anything anyway."
540,I am on medication (risperidone).
541,I'm afraid it has something to do with stopping cold-turkey on all of my previous medications.
542,I ended up abusing my Vyvanse all the time and resisting other medications.
543,If I say my leg hurts they'll give me medication but I NEED my leg x-rayed to find what's inside.
544,I was hospitalized for 5 days and put on some various medications that just made me very confused.
545,I recently quit taking my medication because I fear the medicine is meant to keep me confused.
546,I'm afraid of medicine.
547,At this point I have the psychosis under control (I even went off medication with help from my doctor and things are going well) I just can't get myself to do any real work.
548,My doctor recently upped my meds.
549,She does NOT want to take medicine and was baker acted appointed a court guardian at one point to have her take it.
550,"She took it for a bit, was deemed competent, relieved of her guardian, stopped her meds, and started over."
551,Part of me just wants to hold her hostage and force meds upon her in order to rescue her from herself.
552,"Some days I feel motivated and then some days I dont......I struggle with the voices and other issues, I am on medication that helps control things....I am on SSD but its never enough and I struggle every Month."
553,I have anxiety episodes every day as well and am currently on medication.
554,"My doctor once tried to give me pills for my digestion issues (which, as I now know, are of a psychosomatic nature, so nothing you can treat with medication)."
555,Are there any meds available which could treat this?
556,"The medication (diazepam, I remember lexaurin as well) wasn't prescribed for her, but her mother works in a hospital and got it for her from her friend for her anxiety."
557,Am I going to not take my meds one day and go off the deep end?
558,"Will they take me off my anti-anxiety medication(klonopin), and I'll be left totally raw and unprotected from the terror that are my emotions?"
559,"I've been taking medication, however I spend all of my time sleeping and even when I'm asleep, I still hear voices laughing at my expense."
560,I am like a hawk making sure she takes her medication and gets up in the morning.
561,"After her layoff, my mom offered to pay for her health insurance but she said she was feeling great and didn't need medication."
562,She stopped taking the medications and then the spiral continued.
563,I want to help my aunt and I feel that she should take the medications that turned her back to her normal self.
564,"Do you think they've moulded society in such a way that people with a mental-illness such as Schizophrenia are oppressed and forced to take medication, to suppress it?"
565,"I feel like a different person without the meds, and I never truly realized that until now."
566,"But aside from giving him the diagnosis and prescription for meds, they haven't done much else."
567,"After telling me that I might do better on different medication (negative symptoms), but then telling me it won't make a difference."
568,"I experienced full on psychosis for probably about a month, and then started taking meds that pulled me out of it."
569,"So far I feel very good off the medication, somewhat 'normal' ( I am still very nervous and antisocial, which was not the case before the diagnosis)."
570,I'm hoping this may eventually go away and might be an after effect of the medication I was taking.
571,I've hears the anti phsychotic medications mainly deal with the POSITIVE effects of schizophrenia...
572,I was diagnosed with chronic depression and I took medications for it off and on for the following six years as well as went to different types of therapy and such throughout that time.
573,"I've been on medication before that made me stop thinking at night and helped me go to sleep faster, but that also stunted my creativity tremendously."
574,"I have been stable for a while, and currently I do not take anti-psychotics (Haldol last year) My current medication is a strong dosage (200mgs) of a generic anti-depressant, and that has been a consistent dosage for more than a year."
575,He says he's taking his meds again.
576,"He makes dinner and watches movies with me and just functions OK. His meds are on the counter and I assume he takes them every morning, but what if that isn't enough?"
577,"There is nothing going well for me except for the handful of friends I've retained over the years, and the medication I am prescribed."
578,I am dependent on my psychiatrist to fill my medication prescriptions on time &amp; without feeling ambitious and wanting to experiment with my well-being.
579,"The only thing I have are my meds, parents, and my handful of friends."
580,"According to Western medicine, I'm essentially ""healed."""
581,"I tried going off my meds a few months ago in hopes that I had come to a place where I could handle it all, be Michael Phelps swimming in the ethereal waves of calamity."
582,The next two years were very difficult at times but eventually led to improvement and at my mom's request was told she could stop taking her meds.
583,I had a psychosis that went on for about half a year and a week after I stopped taking the medication it just went away.
584,The medication makes me quite asexual and that's not a good thing when you are in a relationship.
585,What should I do with the medication?
586,Because it ruins my relationship and I don't think that the medication is necessary.
587,"So, I've been experiencing psychosis off-and-on for the past 5 years or so, and I've taken various different medications to combat it."
588,"I am not sure if I'm just overly sensitive to the medications (yeah, yeah, who isn't?!"
589,The weird thing is that I took this medication for more than a year before they began.
590,I honestly thought the medication was going to kill me; it worsened my paranoia.
591,"Like the others before, I was experiencing auditory hallucinations while on the medication."
592,"Anyway I was put on rispederal, and I complied with the medication."
593,"Anyway I tried a new medication, this time it was abilify, and I had better results with that med."
594,I wanted to wean myself off the meds in a safe manner.
595,"They heard me out, and I was successful in reducing my meds safely."
596,I haven't taken medication for my symptoms since I was in high-school.
597,I'm just wondering if anyone else here is functioning without medication or has a similar story to tell.
598,Anyone else thankful for medication?
599,"I am on medication for this disease....I am in the middle of a relapse, hearing voices and such...When I tell my doc she will add another med which will usually make it stop then she will tell me to stop the new med when the voices stop....My point/question is what causes relapse, why am I still hearing voices while medicated?"
600,"I went off the medication because I was trying to do better in school since I couldn't think when on them, but now they're gonna take me!"
601,I have heard that when a patient goes off of their meds for too long then that medication is no longer effective and a new drug must be found.
602,"Now, I think this was true for the older medications used to treat schizophrenia, but is it true for newer medications like Risperidone?"
603,"I'm doing all of the things people tell me I should be doing, talking to a psychiatrist, taking all of the medications."
604,"Some people tell me that's normal, others tell me I need to adjust my medication, I don't know."
605,"Who finds out, and Are you held To legally abide with medication?."
606,I am worried that the side effects of any kind of medication will make her as miserable as she is now but in a different way.
607,I dropped out of my senior year of school and went to the doctor who convinced me i didn't have ALS and offered some anxiety medication which I refused.
608,"But anyways, we all take medications, a solid handful of different medications."
609,"Up until today, I was under the belief that no such medication currently existed."
610,I don't know who to talk to about this seeing as how every time I see a healthcare professional they tell me I am delusional and prescribe me medications that do nothing but dull me and remove my motivations for everyday life.
611,"I know some of what I heard has been a hallucination only because I've realized some of what I thought before (going on medication) was delusional, but I'm having a hard time convincing myself everything I thought before was delusional."
612,They changed my medication to aripiprazole tablets at the beginning of December.
613,I have been non compliant with the tablets to see if I could live without medication.
614,"I'm not searching for a diagnosis specifically, but I want to be on the right meds going forward, especially if I change doctors."
615,I had stopped medication suddenly and had it a few months later.
616,it was very powerful and it convinced me to go on medication for years.
617,"Also in all 4 cases, I wasn't taking meds when they happened."
618,I am back on meds now and I don't think I will experience anything in the future.
619,"So I've been on medication for the last couple of weeks, amisulpride, it's been working great but last night I heard a little boy running outside of my window, It felt like an hallucination but I was not sure so I got scared, really scared..."
620,It kind of feels like the medication is causing the delusions considering they're worse in the evening.
621,"My symptoms didn't start till 19, I was under medication and sedated for 5/6 straight years.."
622,And made the decision to quit medication and hope for the best.
623,"My GP as well as a few psychiatrists from various hospitals in Sydney/Melbourne (who are the art majors of the medical world and are total and utter rejects in other fields of medicine) believe I have prodromal symptoms due to family history of paranoid schizophrenia (father, paternal grandfather, paternal uncle)."
624,"No tests will ever confirm or deny their diagnosis and in a world where everyone is stupid, accepting their offer of poisonous medications is fucking ludicrous."
625,"If you do need medication, I suggest telling them you have anxiety for valium and/or a back injury for oxycodone."
626,"Anyway, I was wondering if I should go talk to someone and if there is any kind of medication that could possibly help this 

thnkyou"
627,"We didn't have the money to go back to her psychiatrist, so she went to a county run facility, which was very understaffed, but they kept her in meds."
628,She's currently in the middle of her second break that started eight months ago after she decided to discontinue her medicine without discussing it with anyone.
629,"Before this she had five good years on Risperdal, but now she's been bouncing between providers and hasn't been on the same medicine for long enough to see good results."
630,She refuses any medications to help her sleep because she doesn't want to.
631,I wanted to have him seek therapy and (knowingly) pass for schizophrenic so that he can have access to anti psychotic medications that he hopes will dull his powers.
632,"Hi there, I'm undiagnosed atm (psychosis is the catch all term for my condition at the moment) however before meds I found I had a block in my train of thought a lot as well as emotional blunting/apathy."
633,I'm on medication that seems to be helping a bit with me coming to terms that what I see and hear isn't always real.
634,ik a lot of the libido stuff down to meds but its the other things as well.
635,Recently my meds *seroquel/zoloft* have been increased.
636,"I need my medications, I cannot go back to the way I was before."
637,"There is no use in talking about medication or to simply see a doctor, since she will never accept such a thing."
638,"No meds, no therapist (I've given up hope on that matter)."
639,Due to my medication most of my positive symptoms have become less distracting or faded away entirely.
640,I think they still haven't found the right meds but she continues to go to the doctor and is doing everything she should to feel better.
641,I don't know if its the negative symptoms or the meds.
642,"If you're stable on meds, is it possible to still have episodes or experience hallucinations and/or delusions?"
643,"i am on meds - Xanax - to help calm me down ,but it doesn't seem to help too much."
644,"There were several reasons, including moving out of my psychiatrist's area, feeling like I wasn't sick and didn't need meds, etc."
645,I finally got to restart clozapine and am now starting to feel better with a new lesson learnt about continuing to take meds.
646,Would this trigger a relapse of avoiding her meds?
647,**EDIT:** Back story- I've been off medication for over 6 months now- this is basically how I deal with it.
648,"He sees a psychologist occasionally for stress, but as far as I know he has not been diagnosed with any kind of disorder or prescribed any medication."
649,I'm on medication but this symptom seems to have not gone away.
650,I was put on Risperdal because I had an allergic reaction to the other common medicine (the name slips my mind) and I have other factors that made it impossible to take the other non-psychotic related ones.
651,"Based on the results, we may recommend adding an anti-inflammatory medication to increase the effectiveness of your psycho-pharmacological treatment plan."
652,"I have been on medication for 3 or 4 months now and I, for the most part, have my delusions and hallucinations under control."
653,"We are headed back tomorrow, but for tonight I am medication free."
654,"Last time I went a night without my medication, I was not doing well."
655,"Since I started on ADHD medication at the start of college, I've seen people's faces morph into other faces while they're walking towards me from a distance."
656,"So currently, I'm off meds until Tue."
657,So I was having conversation with my schizophrenia and medication and the sudden question pops-up on the lines of: do you have to take medication forever?
658,"I started taking new meds, my old meds never seemed to help much."
659,"Idk if I should just wait for my doctor to up my dosage, or ask him to try another medication."
660,Ways to cope with every day life and our symptoms and medication discussion.
661,Do the medications and psychiatrist involvement really help?
662,"I think that's from medication, though."
663,He has been diagnosed and is on medication.
664,This has gone one for around 3 months as the meds don't seem to work this time.
665,"My psychiatrist says I need to be treated with meds, otherwise I will never be a healthy human being."
666,"Could it be a side effect of my meds, or is it a symptom?"
667,They were gone for months because I was on a good medicine (latuda) but the side effects made me switch.
668,I'm a diagnosed schizophrenic who stopped taking anti psychotic medication about a month and a half ago.
669,"Is it related to medication, the environment, or just something one's brain does?"
670,Max dose is 160mg so if that doesn't work I may have to either switch meds or add another one.
671,"I've been on zyprexa, risperdal, haldol, and saphris and those didn't work, so I'm worried about possibly having to switch medications."
672,"It's frustrating because I'm trying to get help, take my medication and be a good girl, but my support network is wacky and believes in the supernatural."
673,"she is even worse now, and refusing any medication."
674,Until now doctors are nice but the treatment/medication seems not making significant improvement.
675,"I'm not depressed at the moment (thankfully), psychosis.. eh I'm on medicine and it keeps me sane enough to stay out of the hospital."
676,"My current medicine, Zyprexa, has been working well and I'm a small dude so I don't mind the increase in appetite."
677,"soo i was doing really good i was taking care of myself, remembering things more clearly, was letting the details slide instead of panicking, I was working out and dieting and getting in shape and was just generally getting myself back together, but then i ran out of my meds and now i feel the paranoia coming back and my memory is getting fuzzy again and i see things sometimes and i find it way too difficult to talk to people i stopped working out for 2 weeks and i dont want to do or eat anything in patches and the worst part my hygiene is starting to slip and i dont sleep regularly anymore."
678,Does anyone know of any natural treatment besides prescription meds?
679,"((Continuation)) I'm so tired and fatigued, the meds might make it worse."
680,"I already eat for comfort, the meds will make me eat more, I already eat too much for the money I get."
681,"I'm on medication and all that jazz but that doesn't make the symptoms go away, it just turns down the volume."
682,"What kinds of questions should we expect besides what meds he's on, what his issues are?"
683,I'm having bad anxiety and my medicine give me restless leg syndrome so I feel as if I will explode.
684,"Hello, I have been off meds now for more almost 2 years without symptoms and have recently had recurring memories of child sexual abuse and rape."
685,The thing is I have stopped taking my meds because she said they make me a zombie and she will kick me out(I just moved back in) if I keep taking meds.
686,"I want to tell her to try and convince her I need meds, but at the same time I don't, she can see for herself when I start to get sick again."
687,"I'm really scared of the voices coming back, I've been enjoying having my mind be my own, but my mom won't let me take meds and she notices if I'm on them(cuz I'm a ""zombie"")

However, I'm going to go walk in to my doctors office tomorrow to see if she can prescribe me something that won't make it so obvious I'm on meds."
688,I was wondering if anyone else has experienced these problems with similar medications (atypical antipsychotics) and how they have coped with the problems.
689,"I want to get off the medication now, but I'm concerned about my paranoid psychosis."
690,"I've been to the doctor a bit recently for a new medication I'm taking for my ocd and told him about the voices, anyway, I don't even really know what the purpose of my post is about."
691,things got better as she started to take her meds consistently.
692,"How does one know whether the psychotic symptoms are very well-controlled by medication, or whether the psychosis one had was a brief psychotic disorder/schizophreniform disorder?"
693,I don't have a lot of stress in my life (aside from having hallucinations daily- which I'm learning to handle just fine without meds) and I think this is making me feel anxious.
694,"For a bonus question, do you think a mild anxiety medication might help reduce my breaks?"
695,I understand it now and after months of treatment and medicine changes I am able to live a normal life.
696,"My question - for those here that have gone through this process, either as a patient or a parent - how long did you have to wait until you had a diagnosis and meds?"
697,"I was on medication for all of these things (including insomnia) for about a year and a half, and have been off of them for 2 and a half."
698,"So, I'm on meds."
699,"They're wanting to keep me under these meds that actually make me feel worse, and I am trying to find out the reason why."
700,"I want to tell them that I am still taking the meds and everything's fine, so that they'll believe me and think they can ruin me."
701,"I feel like they waste my time, only to subscribe me medications that only allow temporary to no relief."
702,"I've used other medications since, to help my sleeping habits, and none of them help."
703,"My therapist feels I need to be put on medication because my psychotic symptoms have been consistent for the past 6 months and do not seem to respond to psychological intervention or my efforts to maintain regular sleep, healthy diet, exercise, and lowered stress."
704,Feeling horribly guilty for abandoning the people I used to hear(meds made them stop now).
705,I keep thinking I'm hurting them by taking meds and I'm abandoning them because I'm trying to convince myself completely that they aren't real.
706,"If I stop my meds it'll all come back, just like it has before."
707,Do meds really get rid of delusions?
708,Does anybody have a possible solution to keep him calm until he gets his meds?
709,Plenty of people get better without the need for medication--check it out.
710,When my pills for chronic depression don't work within 2 months I get really suicdal and find it hard to stay on any meds.
711,The fluctuation (before I set an alarm for 3pm everyday to take them) from going off then on my meds made me feel like I was going insane.
712,I think part of it is my shrink doesn't understand and my current meds AREN'T working.
713,"I handle my condition pretty well, I don't take medication because I don't want it to become the focus of my life, I understand that some of the things I feel and see aren't real no matter how vivid it is but I'm afraid when I get older I might crack, however I hear that in most cases it gets more mild and can go away on its own over time, what are your thoughts and experiences?"
714,"I don't know if he's on meds, though, I know he sees a psychiatrist but not sure if he's taking his meds."
715,I am just curious as to what medicines are available and what their side-effects are?
716,I gained 10 lbs in 1 month stopped taking the medicine along with 3 others.
717,I just would like a general idea if there is a medicine (anti-psychotic) that does not cause weight gain.
718,I know these are only things a doctor can answer but the last time I went I felt like he was judging me and it put me off going back to get a medicine change.
719,"While this is beneficial and I don't mind continuing to take this medication, the medication, which may be a placebo is not what I expected off this ""revolutionary new treatment""..."
720,This medicine has done very little to improve my self image.
721,"I'm diagnosed schizophrenic, I am on my meds (I'm not taking then as regularly as I should)."
722,"Now 35, still drug free but that includes any medication!"
723,Is this basically all that the medication is doing?
724,"I walk alone

Made of pieces

Schizophrenia destroyed me

Broken once, cannot reglue

Psychotic episodes run anew

The medicine, it does help

The voices left, no one to tell

The horrors of before I still fear

Nowhere to go, no career

My brain decays from the medication

Quiet thoughts from my meditation"
725,She is currently on a very low dosage of her medication (when she takes it).
726,When on an appropriate dose or different medicine she does very well.
727,I have suggested to her that she might want to switch medicines or go on a higher dose.
728,I'm currently off medication until Tuesday.
729,People with schizophrenia don't necessarily need to be on medication for life so it seems.
730,And some are able to manage symptoms without medication.
731,"I wanted to know from people not on meds:

1."
732,"If you been on medication before, how many episodes have you had before going off medication

4."
733,"How long you've been without medication

5."
734,"What are your symptoms and how hard is it to manage while off medication

6."
735,"mine started that way, I'm on meds now but it's not going that well, they do not take off the negative symptoms"
736,"I need to help educate my brother as he's only done a little research and says things like "" I never feel like the medication is really working"" and ""I don't believe they really know what they are talking about, they don't understand what it even is"" he is very sceptical of the medical community and doesn't trust their advice."
737,He has been hospitalized once and since getting somewhat better through medication and therapy has had some relapses brought on by the persistent drug use (has admitted to taking ecstasy and pot a number of times and raving/clubbing a lot).
738,Also can medication stop a psychotic episode
739,I've been debating whether to increase my medication when I see her.
740,"At the time I restarted my medication I was in better health, but lately my health has deteriorated and I'm starting to have some issues with my symptoms again."
741,Should I increase my medication to deal with my symptoms?
742,"And ever since I had a bad reaction to Abilify, I have been afraid to try other medications."
743,Thinking about changing meds.
744,I'm new to the medication.
745,I'm thinking of switching meds.
746,"Anyways, got hospitalized, got out, was off meds for a month or so, a little more, and have been on meds since."
747,My doctor is concerned about a particular issue I have (perhaps more concerned than I am) and seems to be wanting to press for medication as that seems to be the only thing available to treat that symptom.
748,"I can imagine very little worse for my cousin than to go back and live with her manipulative, selfish, sociopathic, bipolar who skips her meds and sometimes attacks people, horrible mother."
749,"When I talked to R she said **""the doctors are saying that they want to put my on schizophrenic medications."
750,I don't want to be on medication I don't need.
751,I've seen what happens when people whose disorders include a warped perception of reality do not take their meds.
752,"However, over the last few years, he's been taking medication and seeking therapy."
753,I had a few questions about medication.
754,The medication has also caused a bit of a snoring problem.
755,I'm on good meds now and I have a good job working with disabled people.
756,Last week I saw my doc and in my 15 minute check in for meds and such I couldn't help talking about this which he understood.
757,"I'm guessing this will generally be medication and therapy, but do you feel like it was a choice to acknowledge you were dealing with schizophrenia or was it something else?"
758,"He's on his meds now, has been hospitalized a number of times which included some therapy, but it's been years since he last had any insight."
759,"I went down with my meds, three years after this incident, slowly reducing them together with my psychiatrist."
760,"took some medications, came out of the psychosis."
761,"Either way, I think me looking sad has more to do with my medication change from Clozapine at night to in the morning."
762,Does anyone here have any experience with taking ADHD meds?
763,"I watch videos on Schizophrenia on YouTube and Dailymotion, and I realize they only show people that are on meds and still deep into delusions and hallucinations."
764,With and without meds?
765,I have severe dissociation on a semi-regular basis (medication is helping) and have had a few delusions while high.
766,"Foster subscribes to a branch of medicine called ""orthomolecular medicine."""
767,Orthomolecular psychiatry is a type of orthomolecular medicine whose proponents argue that dietary supplements and other treatments can be effective in treating mental illness.
768,What the meds for Schizophrenia do is block a persons Dopamine Receptors so as not to allow too much or too little.
769,She regularly takes her medication and goes to therapy and RI meetings.
770,"Now it's almost nonexistent because of:
- Medication 
We're both on meds; I've been on antidepressants for about two years."
771,I don't get on medication until next Monday.
772,I saw the GP yesterday and told her how shit I think the meds are.. She just told me to keep at it for 3-4 weeks &amp; that the side effects will disappear.
773,Contrary to just about everything I've read on the medication.
774,I'm writing on behalf of my partner - she's currently in the hospital while they try to figure out her medications.
775,They diagnosed him with accute paranoia and once he was released hasn't taken any medication.
776,"i want to tell her but i am also afraid she""ll think i am using it as an excuse to rationalize my behavior.so i wanted to know first of how much does treatment/meds cost?"
777,Does anyone have any experience with grape seed extract while on meds?
778,I have thought China was tainting my medication; basically the list of ridiculous could go on and on.
779,I have been on every medication in the book and yet I still struggled with symptom relief.
780,"She is currently 30 years old and living with our parents, who are both in their sixties and are aging quite quickly, and who have spent all of their savings and have gone deeply into debt trying to treat her and manage her symptoms (using both conventional and alternative medicine)."
781,I feel as if I'll never break the med working --&gt; not working --&gt; increase meds cycle.
782,*sick of meds* sooooooooooo sick of the stretch marks from the prolactin in my blood.
783,"She has been placed on several different medications, some of which worked better than others."
784,She has problems with taking the medication consistently.
785,"She becomes quite paranoid about where the medication came from, the people who are giving it to her (my parents), how the medication was presented to her (e.g."
786,"However, she is paranoid/delusional enough of our parents that she won't allow them to have access to any of her PHI, including where she is staying, further medication and diagnoses, etc."
787,"Though it is not related Schizophrenia, I do have a decent understanding of how the disorder progresses, prognosis, recommended cognitive/behavioral/medication treatment, and the like."
788,"How can we best encourage her to take her medication short of shoving it down her throat, which obviously will only reinforce her paranoia and delusions, despite the medication?"
789,I have not seen anyone or been on any meds for 6 months.
790,"We can talk medicine, relationships,  angels and demons, Neo, everything."
791,"Now, others ask me whether I'm ""off my meds"" because I seem ""excited"", and I talk so fast that other people ask me to slow down."
792,"And if this is my diagnosis, why am I not being offered any meds to help control the symptoms?"
793,"Because I am totally sane and came to them for candy they call meds, I guess."
794,It occurred to me that these medications are rather unselective in the receptors they antagonize.
795,"If you find an error with this hypothesis please let me know

Sources
http://www.ncbi.nlm.nih.gov/pubmed/15118803
http://www.nimh.nih.gov/health/publications/mental-health-medications/index.shtml
What I already knew about Neuroscience."
796,"I never really got this THAT MUCH before the medication, but it seems to have taken the audio ones away but making the ""visual"" ones more frequent..."
797,Shall I try a different medication?
798,"Since 2009 when I first started seeing a psychiatrist, I've been on a slew of meds and most haven't been useful."
799,"By slew, I've tried the following...

+ Mood stabilisers - sodium valporate, lamotrigine
+ SSRI - sertraline, lexapro
+ SNRI - pristiq
+ MAOI - aurorix
+ AAP - abilify, invega, solian, ziprasidone, seroquel, clozapine, saphris, olanzapine

The only medications out of the above that really worked for me were ziprasidone and olanzapine."
800,"Anyway, I was just wondering if anyone else decided to come off regular medication?"
801,I've stopped taking the sertraline and lamotrigine and the only medication I intend to use is olanzapine when I feel things are going crazy.
802,I just don't think the meds have been useful at all.
803,So I just don't think it's worth putting medication into my system on a daily basis.
804,My lawyer told me to get an individual therapist (I go to group therapy and have a psychiatrist who prescribes medication).
805,"But with the ADD meds I feel like I can get up and do things, and can actually talk to people and hold real convos, and be more engaged in life instead of being ""stuck in my head"" 24/7."
806,I just think the risks are a little overstated once you're pretty stable with other meds/treatment.
807,"If you stimulant overdose then you can for sure get psychosis, but I don't think that happens unless you abuse your meds."
808,"There are risks associated with all medications, but a particular risk factor shouldn't be treated as if it's inevitability."
809,Potential side effects don't stop docs from prescribing other types of medications (and pretty much every medication has potentially unwanted side effects).
810,"I told my therapist and he said that that sometimes happens(I am currently NOT on medication, so it was kinda getting bad)."
811,"I'm starting to listen for them because they're not all bad and it makes me feel very nervous that they're not talking as often as they used to, especially since I'm not on medication."
